id,nome,cpf,cidade,estado,pais,data_cadastro
19216184-2ba4-42ea-8ed0-3a4374ec5d2f,Isabel Siqueira,296.199.149-17,da Rosa Verde,MA,Brasil,2024-11-16
c0b88b2b-405e-4cee-8989-7601a3edcaa0,Vitor Gabriel Dias,269.191.503-27,Abreu de Vasconcelos,AC,Brasil,2024-11-30
46380f12-c0a0-4c77-9454-442b3664316c,Dr. Lucas Gabriel Sá,119.155.234-85,Novais,BA,Brasil,2025-04-13
6ebebbc6-78ba-437d-91d5-1b5453713194,Rebeca da Cunha,665.128.347-82,Cardoso,TO,Brasil,2023-12-29
f6f679fd-9bac-4ef9-bdb0-02b067f832ac,Liz Sampaio,304.351.354-80,Siqueira de Sá,RO,Brasil,2024-11-23
d0b9c360-0f4d-4e1d-ada3-257da00a19a6,Maria Júlia da Mota,047.969.972-79,Castro da Prata,RN,Brasil,2024-08-26
dfc0b60a-0d6d-44fe-b084-5a8f12a60322,Ryan Aragão,357.047.313-61,Pacheco do Amparo,CE,Brasil,2023-10-31
460eabae-6900-4def-8fe8-d81f64bb3f4f,Yuri Jesus,405.267.762-29,Nunes,GO,Brasil,2024-08-12
f35cbfd2-b578-45e7-9239-6dabc94eb178,Srta. Anna Liz da Costa,355.880.470-99,Sousa de Lima,RS,Brasil,2024-05-15
e76fdeec-7b86-4f8a-b1c4-b2b30ae2e830,Sofia Barbosa,166.755.979-59,Pacheco,SE,Brasil,2025-04-03
e0b9e467-bc26-40b4-a216-df1d6311ba2e,Davi Miguel da Luz,217.114.354-25,Ribeiro Alegre,PI,Brasil,2025-04-22
fd50193a-67be-4b9b-aea1-89adadc83cf8,Caleb Fonseca,233.117.227-72,da Mota,MT,Brasil,2024-04-22
8804244a-212a-4ad7-bb57-94034bda23ad,Oliver Campos,997.209.832-73,Santos,RN,Brasil,2024-10-29
7714831a-4dac-408d-a1e8-657879fabb5c,Eduarda Cardoso,458.307.717-46,Guerra,AL,Brasil,2023-11-12
b242e608-7d23-4b2a-ae0f-e8ddf9c3dcb7,Clara Barbosa,048.061.191-12,Ferreira,RR,Brasil,2025-03-11
a3a86bae-2784-4080-a874-733a61107b28,Mariana Porto,969.074.805-80,Rios de da Paz,BA,Brasil,2024-08-21
c05585a6-60f8-42ed-9198-88c9f02d1645,Nicolas Nunes,868.376.698-29,Pacheco,RS,Brasil,2024-12-30
af503485-5ff8-4455-9001-9bf955313160,Luana Moura,910.090.304-22,Caldeira,MA,Brasil,2024-12-18
29eef6b2-e5e6-45e2-85b4-2d2a35a257bc,Sr. Caleb da Paz,364.498.794-47,Nogueira,BA,Brasil,2025-04-04
5785b87d-98e1-47ca-90fa-9858768e7490,Luiz Miguel Vargas,911.344.404-96,Cirino do Oeste,TO,Brasil,2024-10-08
bd6e288a-5bc5-4eea-bc76-a20a2320ffbe,Igor da Paz,242.831.322-78,Cardoso das Pedras,AL,Brasil,2024-05-01
138b3553-f402-4cbe-90f4-ff3c24e9f73b,Levi Aparecida,120.011.959-17,Duarte de da Cruz,SP,Brasil,2023-07-09
7e3be0fb-798c-4cb7-bd02-94a041223f2f,Vitor Viana,777.420.140-04,Rezende,DF,Brasil,2023-10-20
b920c52b-8c3d-4273-a61c-28799def48e9,Ísis Novais,195.063.971-33,Lopes de Fogaça,RN,Brasil,2024-12-24
d740703a-ba30-4788-a21d-6b4c7d2434ba,Nina Vargas,642.958.246-27,da Costa de Peixoto,SC,Brasil,2023-12-06
