id_pedido,cpf,valor_pedido,data_pedido
d482202f-0d1b-471d-bd73-073345263025,176.548.225-10,98.77,2025-06-18
5a28baf0-4578-4453-bb12-df0e91f92371,283.420.934-94,527.54,2024-11-14
c0839a42-7f7e-464a-8a75-2889a37a01f9,092.783.413-53,1486.12,2025-04-08
d08577f2-4a42-42a4-b49a-760c03a1e1e3,420.163.484-57,219.53,2024-02-14
935fe806-0e2f-43cc-b70d-e68dc10ca193,987.467.157-33,111.98,2024-11-14
aceeee25-1618-4108-9a0d-8d35776e1b42,452.975.785-39,476.34,2024-05-02
74436fb6-667f-49af-8007-ced3bebfe627,727.905.932-37,1223.94,2024-05-03
4bb72b04-f37f-4383-a0ad-913b26d42c6c,953.331.590-33,437.73,2023-12-18
3f10949d-40d9-4760-b90c-fdca362f4e50,927.253.089-02,868.06,2024-01-29
10892639-6ab4-44ef-80ac-073742ce7b65,534.928.472-23,1199.07,2024-08-26
eff8950f-e7c2-4c8c-9cc2-15659236366c,103.903.680-24,1529.67,2023-10-08
d1a643e2-e636-4778-9abb-81e25dfd896f,457.005.210-21,1411.37,2023-06-23
d5b780d5-2ae4-42ae-b45b-8768198e32a9,283.421.515-36,591.85,2024-11-19
f4d83f01-d764-4441-8624-351cf2cbe041,980.596.792-36,1916.57,2025-02-04
d9168cf4-6c3c-4914-99ec-b2f325e705ad,077.360.502-02,249.31,2025-03-01
6fd8e0de-5185-4dcc-b8cc-d7a1f5d28ebe,710.756.436-45,238.60,2025-02-23
175c5b18-a53a-4bed-b097-5d2a7af1c0e7,297.573.911-65,1227.27,2024-01-05
9bc7a4e4-886a-49a8-b3ef-d752324682e7,478.125.900-14,1472.98,2023-07-28
ada0b233-49a7-4307-a808-564b847e40cd,587.918.493-63,293.41,2024-12-21
55926a6c-b29a-4e22-8160-9b7ae983d915,256.650.803-47,203.66,2024-11-25
d24f54e4-13cd-43bf-93a3-1c71c9aaf44b,433.257.698-24,1667.34,2023-11-16
925c0f0b-f9c0-4368-9a76-9c30a834b569,550.897.026-60,1175.84,2025-04-01
fd7dbb63-a7d2-43a9-8082-abae9a5512bc,770.670.216-19,139.36,2025-05-27
2bb61cf2-0525-4b5d-8ae3-50b77cd42411,736.672.357-80,1557.48,2024-03-02
05f7458a-0264-4e93-9e1f-c8524026d4cb,891.133.212-26,1717.87,2025-03-09
825c21d7-ef45-4573-bba1-bf268600513b,986.317.941-22,791.25,2023-09-01
e7c1f7aa-e6db-47fc-bc60-53c65afadc0d,128.634.517-78,1289.58,2023-12-21
05eff773-649b-4ad8-825a-0d6104d3a6c0,523.243.433-37,367.18,2023-11-07
7cbcf115-0935-47da-97b9-a6cca33b7e77,533.176.607-73,458.54,2024-03-06
9167d1c5-7836-45bb-bd2a-6d8c0fe7aa5d,201.816.532-58,1418.55,2023-11-05
1d2e16f3-aa02-4c83-b150-835c67a4e015,894.261.605-76,1237.81,2023-07-05
e74a1971-cc42-4fbd-8453-98882746baf7,836.520.021-26,1091.57,2025-04-12
121166ea-e3f3-4f98-b927-7f1e4a1d7159,591.387.065-69,368.63,2024-10-30
c4f3a199-a0c2-473c-95e4-b37a28c51702,483.733.345-51,576.40,2024-03-09
6a08a10a-672d-4c3f-9d9b-1da56e356d24,599.997.687-36,478.25,2024-04-15
ecbde252-aed7-4cab-847d-322b4ecbc930,936.536.595-05,1693.56,2023-07-06
f8f76da5-c347-49ec-911b-9d59996188f7,854.208.074-12,496.64,2025-04-16
25de272f-07a5-4105-8211-b5f9af7f8d7f,336.936.184-76,1619.84,2023-12-26
bd3f5e67-fc3d-402a-b11b-5e3991e594c5,296.505.956-87,572.09,2024-03-01
